region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,qualification_status,disqualification_reason
11540,385.0,0.240625,0.5392,1.62,1621.4857142857145,2975.8233766233766,28920.08441558441,4938.357142857145,29.3391,1611,2961,1632,2995,6.1475,2.8961,14.1145,4.8814,1.7887,-1817.9432,1.0,0.5114,0.4664,385.0,,,,0.0,0.0,,,,0.0,0.0,7.1e-05,-0.000912,0.000616,0.000656,-0.00125,-0.006636,-0.006167,-0.011328,385,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation; no_radar_coverage
11541,736.0,0.46,0.5841,1.03,1624.8111413043478,3017.0991847826085,29951.979619565216,4855.221467391304,30.3434,1609,2999,1644,3035,5.1355,2.4465,16.7843,4.271,1.6013,-1796.4193,1.0,0.3301,0.4091,736.0,0.19701,0.194159,0.028998,0.019022,0.019022,,,,0.0,0.0,-1.5e-05,0.000447,0.001363,-0.000153,-0.001577,-0.009597,-0.005647,-0.010573,736,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation; no_radar_coverage
11553,586.0,0.36625,0.4228,1.27,1615.470989761092,3174.266211604096,33881.15529010238,5088.7252559726985,34.2616,1599,3155,1632,3197,6.5909,3.2431,21.6625,5.8013,2.7655,-1737.8656,1.0,0.6695,0.4156,586.0,0.282753,0.273524,0.071004,1.0,1.0,,,,0.0,0.0,0.002743,0.001329,0.001108,0.0008,-0.003487,-0.012677,-0.00594,-0.008493,586,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
11560,503.0,0.314375,0.542,1.1,1629.6163021868788,2888.347912524851,26733.197813121267,4735.092445328031,27.1497,1615,2872,1644,2904,4.7922,4.166,26.275,3.3156,1.5057,-1879.7301,1.0,0.0742,0.2173,503.0,,,,0.0,0.0,,,,0.0,0.0,0.005944,0.001519,0.003292,0.00143,0.002775,-0.002179,-0.004525,-0.00872,503,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11576,315.0,0.196875,0.4345,1.16,1625.8825396825396,2831.273015873016,25306.3253968254,4828.436507936509,25.7632,1615,2814,1640,2843,4.1245,1.7002,11.8851,3.2525,0.8102,-1823.6502,1.0,0.0509,0.1759,315.0,,,,0.0,0.0,,,,0.0,0.0,0.000836,-5.2e-05,0.000499,-0.000532,-0.001606,-0.003371,-0.007204,-0.009182,315,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11608,1867.0,1.166875,0.523,1.37,1638.950187466524,3044.9132297803963,30647.330744509905,4501.745313336905,30.9766,1605,3017,1675,3068,7.4649,3.337,27.2194,6.2305,2.6825,-1808.0044,1.0,0.4967,0.482,1867.0,0.172817,0.154737,0.071826,0.488484,0.488484,,,,0.0,0.0,0.000333,0.000258,0.000628,0.00172,-0.001027,-0.004882,-0.006478,-0.014369,1867,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
11623,644.0,0.4025,0.5164,1.48,1637.5481366459628,3383.495341614907,39111.88354037267,4536.796583850926,39.3746,1623,3361,1652,3404,7.4506,2.3894,13.9009,6.1137,1.2735,-1132.0029,1.0,0.2509,0.3875,644.0,0.154756,0.149003,0.035241,1.0,1.0,,,,0.0,0.0,0.019494,0.026156,0.032905,0.032583,0.045777,0.043883,0.044748,0.033934,644,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
11625,663.0,0.414375,0.5667,1.3,1633.7933634992455,228.579185520362,-39761.02036199095,4630.66591251886,40.0292,1619,209,1649,248,5.7193,2.952,17.2975,5.0675,2.16,-1783.7684,1.0,0.7624,0.3649,663.0,0.139242,0.143491,0.018976,0.098039,0.098039,0.032216,0.030949,0.013888,1.0,1.0,0.003593,0.010038,0.003568,0.006653,0.012032,0.009334,0.003029,0.008754,663,1.0,35.5577,101.3636,UNCERTAIN,high_shadow_variation
11641,556.0,0.3475,0.5991,1.1,1639.6960431654677,2977.169064748201,28953.72661870504,4483.098920863311,29.2992,1626,2964,1658,2993,6.4305,3.4854,18.1533,4.689,1.8333,-1824.4094,1.0,0.2807,0.409,556.0,,,,0.0,0.0,,,,0.0,0.0,0.011953,0.004747,0.005087,0.007182,0.004721,0.003195,0.004073,0.00059,556,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation; no_radar_coverage
11643,799.0,0.499375,0.5109,1.35,1631.650813516896,3114.5919899874843,32389.29974968711,4684.229662077596,32.7267,1614,3092,1648,3138,4.6041,2.878,14.3298,3.589,1.866,-1726.8964,1.0,0.3241,0.4118,799.0,0.178474,0.169054,0.038779,1.0,1.0,,,,0.0,0.0,0.001859,0.00154,0.000472,0.00045,-0.003377,-0.005835,-0.008477,-0.015778,799,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
11644,1838.0,1.14875,0.5282,1.03,1662.5669205658323,3126.9396082698586,32697.99020674647,3911.32698585419,32.9315,1633,3094,1691,3154,9.8464,4.4599,25.5674,8.2578,3.487,-1740.5604,1.0,0.5449,0.4763,1838.0,0.189996,0.181265,0.055332,1.0,1.0,,,,0.0,0.0,0.00187,0.001711,0.00014,0.001504,0.000263,0.003525,-0.004633,-0.007061,1838,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
11653,148.0,0.0925,0.6167,1.07,1636.5405405405406,2822.5405405405404,25088.013513513502,4561.986486486487,25.4998,1629,2815,1645,2830,4.6007,2.2087,10.3477,4.3481,1.8073,-1824.7073,1.0,0.0714,0.2199,148.0,,,,0.0,0.0,,,,0.0,0.0,-0.000257,0.002156,0.000107,0.000192,-0.00807,-0.020766,-0.010293,-0.017533,148,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11660,152.0,0.095,0.4524,1.71,1633.9407894736842,2996.743421052632,29443.085526315783,4626.980263157893,29.8048,1622,2990,1646,3004,6.6558,3.459,14.1905,5.3875,1.8331,-1812.5532,1.0,0.3426,0.4349,152.0,,,,0.0,0.0,,,,0.0,0.0,-0.002684,-0.000259,-7.3e-05,0.000739,6.3e-05,-0.002214,-0.005778,-0.003945,152,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation; no_radar_coverage
11667,147.0,0.091875,0.5833,1.29,1633.5510204081634,2811.5238095238096,24812.59523809524,4636.724489795917,25.2425,1627,2803,1641,2821,3.721,1.9857,9.6081,3.4071,1.4969,-1812.2261,1.0,0.0354,0.1552,147.0,,,,0.0,0.0,,,,0.0,0.0,-0.000141,0.000703,0.001823,-0.001056,-0.003259,-0.01084,-0.009445,-0.012253,147,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11700,413.0,0.258125,0.5441,1.43,1644.549636803874,2933.1476997578693,27853.192493946728,4361.759079903146,28.1931,1629,2922,1662,2945,5.8444,2.0847,13.8393,4.8098,1.0285,-1831.6377,1.0,0.0494,0.1603,413.0,,,,0.0,0.0,,,,0.0,0.0,0.011012,0.009215,0.008179,0.010609,0.011146,0.008139,0.009207,-0.017929,413,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11746,986.0,0.61625,0.5168,1.47,1640.1176470588234,2951.5243407707912,28312.60851926978,4472.558823529413,28.6641,1614,2933,1667,2969,3.9651,2.3195,15.1315,3.3524,1.74,-1812.3658,1.0,0.0342,0.153,986.0,,,,0.0,0.0,,,,0.0,0.0,0.009523,0.011213,0.015052,0.016461,0.016612,0.010791,0.011478,0.007187,986,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11771,1408.0,0.88,0.5041,1.16,1668.6271306818182,3416.7649147727275,39943.62286931819,3759.821732954544,40.1206,1644,3391,1693,3448,6.1317,2.8563,17.8131,5.2381,2.1968,-1133.5541,1.0,0.2595,0.412,1408.0,0.167378,0.161497,0.030058,1.0,1.0,,,,0.0,0.0,0.002833,0.002182,-0.001675,-0.000263,0.000832,-0.003244,-0.005297,-0.000518,1408,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
11776,694.0,0.43375,0.4986,1.66,1655.6657060518733,3384.988472622478,39149.211815561954,4083.857348703168,39.3621,1641,3359,1670,3407,5.589,3.2718,21.6985,4.3243,1.5322,-1164.4323,1.0,0.4199,0.4415,694.0,0.162644,0.15776,0.034574,1.0,1.0,,,,0.0,0.0,0.001984,0.002307,0.001648,0.002401,0.004435,0.002417,0.000751,-0.001501,694,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
11785,2077.0,1.298125,0.391,1.3,1625.7053442465094,3532.4756860857005,42836.39215214251,4832.866393837263,43.1086,1587,3503,1670,3567,7.5271,4.3759,29.988,6.6981,3.8433,-1001.3393,1.0,0.1871,0.3645,2077.0,0.233591,0.217835,0.078176,1.0,1.0,,,,0.0,0.0,-0.000588,0.001619,0.000125,-0.000423,0.000881,-0.004167,-0.006075,-0.011481,2077,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
11801,604.0,0.3775,0.3625,1.44,1660.458609271523,2993.700331125828,29367.008278145688,3964.034768211925,29.6338,1637,2977,1686,3011,3.9585,2.508,13.5913,3.3956,2.0873,-1814.6791,1.0,0.1348,0.2776,604.0,,,,0.0,0.0,,,,0.0,0.0,0.004796,0.002151,0.002719,0.001186,0.001055,-0.002284,-0.00217,-0.007824,604,1.0,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11853,223.0,0.139375,0.4646,1.2,1657.0269058295964,3602.165919282512,44578.64798206279,4049.8273542600873,44.7627,1647,3592,1671,3612,7.0302,2.6942,14.9264,6.3683,2.1585,-969.2673,1.0,0.228,0.3832,223.0,0.263199,0.25883,0.047705,1.0,1.0,0.029389,0.029588,0.002976,1.0,1.0,-8.1e-05,0.001239,-0.000444,0.001287,-0.001711,-0.00293,-0.004732,-0.004506,223,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
11891,167.0,0.104375,0.3662,1.26,1667.4610778443114,3077.934131736527,31472.85329341318,3788.973053892216,31.7005,1654,3070,1678,3089,5.438,3.27,15.8019,4.4052,2.0763,-1721.784,1.0,0.2168,0.3708,167.0,0.174099,0.167588,0.037888,1.0,1.0,,,,0.0,0.0,0.002368,0.007102,0.005249,0.003926,0.00598,0.004925,0.001771,0.000282,167,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
