region_id,geo_x,geo_y,area_km2,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,dfsar_valid,dfsar_cpr_class,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,minirf_valid,radar_flag
13950,-40839.3698630137,-3348.3013698630166,0.09125,0.244178,0.237465,0.057742,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
13963,17704.1875,-3494.03125,0.08,,,,0.0,0.0,False,no_data,0.152728,0.142937,0.043821,1.0,1.0,True,S1_ONLY
13973,-42558.875,-3310.0,0.125,0.336316,0.331403,0.051639,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14030,-41151.970588235294,-3557.5316742081413,0.138125,0.243697,0.236761,0.039103,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14034,27346.66242661448,-3380.4197651663417,0.319375,0.222426,0.213011,0.063549,1.0,1.0,True,normal_low,0.04455,0.044412,0.007523,1.0,1.0,True,BOTH
14046,-43268.0719895288,-3591.7447643979103,0.4775,0.356092,0.312944,0.146366,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14052,40639.08333333334,-3629.948717948719,0.0975,0.20665,0.214247,0.064303,1.0,1.0,True,normal_low,0.076683,0.075554,0.016001,1.0,1.0,True,BOTH
14119,-40428.66395014382,-3806.043624161073,0.651875,0.302966,0.290261,0.073328,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14135,7247.049019607846,-4093.004901960783,0.1275,,,,0.0,0.0,False,no_data,0.126068,0.117908,0.075357,1.0,1.0,True,S1_ONLY
14136,22345.63970588235,-3969.9044117647054,0.085,0.406111,0.41799,0.108337,1.0,1.0,True,normal_low,0.049291,0.05023,0.00572,1.0,1.0,True,BOTH
14140,-39571.91879562044,-3782.255474452555,0.685,0.304984,0.299311,0.053675,1.0,1.0,True,normal_low,0.023519,0.022042,0.003673,0.042883,0.042883,False,CPR_ONLY
14155,9855.10556464811,-3956.251227495908,0.381875,,,,0.0,0.0,False,no_data,0.343495,0.127867,0.414734,1.0,1.0,True,S1_ONLY
14169,-41765.79632721202,-3751.6285475792974,0.74875,0.301354,0.279747,0.080184,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14234,-29816.108740894902,-3938.417793964618,0.600625,,,,0.0,0.0,False,no_data,0.042882,0.041983,0.008282,1.0,1.0,True,S1_ONLY
14243,7248.858974358969,-4484.756410256407,0.14625,,,,0.0,0.0,False,no_data,0.383782,0.340407,0.305394,1.0,1.0,True,S1_ONLY
14249,9838.172922252008,-4620.009383378012,0.233125,,,,0.0,0.0,False,no_data,0.867871,1.099099,0.542517,1.0,1.0,True,S1_ONLY
14289,9562.88526912182,-4370.179886685553,0.220625,,,,0.0,0.0,False,no_data,0.161369,0.121288,0.144495,1.0,1.0,True,S1_ONLY
14298,-41609.08490566038,-4422.8962264150905,0.165625,0.286971,0.263001,0.099635,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14329,-41264.44849785408,-4634.5321888412,0.29125,0.264714,0.253028,0.053604,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14364,-9305.192307692305,-4638.653846153844,0.203125,,,,0.0,0.0,False,no_data,0.07457,0.065153,0.028211,1.0,1.0,True,S1_ONLY
14368,35938.92687747035,-4676.27865612648,0.158125,0.173538,0.172936,0.023832,1.0,1.0,True,normal_low,0.086004,0.086908,0.011904,1.0,1.0,True,BOTH
14387,24402.49369747899,-4906.537815126052,0.595,0.490653,0.485716,0.151985,1.0,1.0,True,normal_low,0.069111,0.064191,0.021624,1.0,1.0,True,BOTH
14396,5712.648148148153,-5221.444444444445,0.16875,,,,0.0,0.0,False,no_data,0.434386,0.351341,0.384811,1.0,1.0,True,S1_ONLY
14404,-39260.43975903615,-4993.777108433729,0.10375,0.317143,0.319579,0.052926,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14425,7409.541841004182,-4863.307531380749,0.149375,,,,0.0,0.0,False,no_data,0.619803,0.533938,0.267934,1.0,1.0,True,S1_ONLY
14436,-41494.84661723818,-5363.633456904543,0.674375,0.25911,0.254886,0.050121,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14454,34804.73255813954,-4821.811046511626,0.215,0.03926,0.038218,0.008133,0.229651,0.229651,True,normal_low,0.069313,0.073251,0.021614,1.0,1.0,True,BOTH
