region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
8408,0.16375,22885.6641221374,12440.576335877864,1.0,-0.923343,1.104788,1.859944,,0.0,0.156557,0.189464,,3,0.078677
8415,0.278125,-5318.983146067418,12306.45505617978,1.0,0.764316,-0.1975,0.986895,,0.05359,0.0,0.10053,,3,0.03585
8420,0.13,16233.27403846154,12313.24038461539,1.0,0.283954,0.643077,,,0.019909,0.091129,,,2,0.022208
8422,0.59625,24629.033542976933,12472.171907756812,1.0,-0.172417,-0.136542,0.104759,0.067031,0.0,0.0,0.010671,0.00302,4,0.003725
8458,0.416875,-10425.237631184404,12403.311094452773,1.0,-0.42387,,2.519005,,0.0,,0.256599,,2,0.06415
8470,0.54375,-8353.373563218389,11685.442528735635,1.0,0.9,,5.921439,,0.063103,,0.603189,,2,0.163418
8475,0.1575,39000.88888888889,12179.666666666672,1.0,,,2.849372,,,,0.290252,,1,0.072563
8482,0.12125,25110.71134020618,12302.948453608244,1.0,-1.58459,0.318402,2.698143,,0.0,0.04512,0.274847,,3,0.077736
8486,0.088125,-23291.989361702126,12052.627659574464,1.0,0.740838,,,,0.051944,,,,1,0.010389
8499,1.053125,-8403.333827893177,12528.037091988132,1.0,0.530661,-0.676072,2.505541,,0.037207,0.0,0.255228,,3,0.071248
8503,0.800625,-11779.305620608897,12554.071428571428,1.0,0.44765,,2.906482,,0.031387,,0.29607,,2,0.080295
8508,0.10625,14655.5294117647,12015.5,1.0,1.485624,,,,0.104164,,,,1,0.020833
8525,0.93375,25561.548192771093,12153.19410977242,1.0,-1.31827,0.628382,0.882759,,0.0,0.089047,0.089922,,3,0.04029
8528,0.12625,39327.47029702971,12125.5,1.0,,,,,,,,,0,0.0
8582,0.4375,-10947.428571428572,11967.75,1.0,,-0.095289,2.169865,,,0.0,0.221034,,2,0.055258
8592,0.725,20913.89655172413,12023.043103448275,1.0,-1.790246,0.331965,1.896466,,0.0,0.047042,0.193184,,3,0.057704
8600,1.6875,-4523.981481481482,11578.518518518518,1.0,0.586114,0.295728,1.064171,,0.041095,0.041907,0.108402,,3,0.043701
8608,0.48125,-19219.62337662337,12317.155844155845,1.0,-0.147836,-0.442484,1.496097,1.057998,0.0,0.0,0.1524,0.04766,4,0.054781
8624,0.299375,38768.08037578288,11937.45198329854,1.0,,0.761552,0.850966,,,0.107918,0.086684,,2,0.043255
8631,0.53,12727.418632075469,12056.39622641509,1.0,-1.318393,0.986633,,,0.0,0.139814,,,2,0.027963
8639,0.355625,17530.431458699466,11756.25571177504,1.0,,1.186871,,,,0.168189,,,1,0.033638
8648,0.19125,20401.95098039216,11904.503267973858,1.0,,,2.585319,,,,0.263354,,1,0.065838
8664,1.354375,18671.385094600824,11697.235117674209,1.0,-0.348561,0.774065,,,0.0,0.109691,,,2,0.021938
8702,0.10375,33191.21686746988,11442.216867469884,1.0,,,,,,,,,0,0.0
8707,0.99875,40479.66270337922,11838.250312891112,1.0,,,1.062317,,,,0.108213,,1,0.027053
8714,0.091875,35552.901360544216,11812.74489795918,1.0,-0.024008,,,,0.0,,,,1,0.0
8754,0.321875,16997.800970873788,11650.2572815534,0.9553,-0.224654,,1.689084,,0.0,,0.172059,,2,0.043015
