region_id,area_km2,geo_x,geo_y,shadow_fraction,shadow_std,shadow_valid_px
89,0.325625,6105.210172744715,43861.20057581574,0.0045,0.0419,521.0
90,0.00125,10474.5,44263.0,,,
91,0.00375,-8396.333333333328,44229.666666666664,1.0,0.0,6.0
92,0.038125,-6023.860655737706,44255.41803278688,1.0,0.0,61.0
93,0.001875,-10658.833333333328,44217.166666666664,0.0,,1.0
94,0.003125,-375.5,44200.5,0.16,0.2546,5.0
95,0.00125,299.5,44213.0,0.0,0.0,2.0
96,0.000625,-7700.5,44175.5,0.68,,1.0
97,0.00875,9119.142857142855,44145.142857142855,0.1914,0.3235,14.0
98,0.005625,4143.944444444445,44161.61111111111,0.0,0.0,9.0
99,0.001875,7341.166666666664,44142.166666666664,0.0,0.0,3.0
100,0.000625,-8100.5,44125.5,1.0,,1.0
101,0.00375,-7229.6666666666715,44121.333333333336,1.0,0.0,6.0
102,0.00125,10974.5,44138.0,,,
103,0.00375,-2429.6666666666715,44096.333333333336,1.0,0.0,6.0
104,0.00375,-9529.666666666672,44071.333333333336,0.0,0.0,6.0
105,0.003125,-9050.5,44075.5,0.0,0.0,5.0
106,0.034375,-6351.863636363632,44126.40909090909,1.0,0.0,55.0
107,0.006875,-970.9545454545441,44048.22727272727,0.2255,0.3424,11.0
108,0.00375,5949.5,44058.833333333336,0.0,0.0,6.0
109,0.00375,8003.666666666664,44046.333333333336,0.9133,0.1395,6.0
110,0.00375,-3913.0,44033.833333333336,1.0,0.0,6.0
111,0.004375,24.5,44018.357142857145,0.0,0.0,7.0
112,0.005625,6382.833333333336,44028.27777777778,0.5733,0.4477,9.0
113,0.10625,-10759.17647058823,44015.94117647059,0.001,0.0127,158.0
114,0.000625,-8775.5,44000.5,1.0,,1.0
115,1.375,8498.795454545449,44130.89772727273,0.7561,0.4033,2111.0
116,0.004375,3599.5,43975.5,0.0,0.0,7.0
117,0.000625,11449.5,43950.5,0.0,,1.0
118,0.003125,-4125.5,43925.5,1.0,0.0,5.0
119,2.654375,-2437.991170237816,44492.75924181775,0.9083,0.2739,4157.0
120,0.00875,-1725.5,43913.0,1.0,0.0,14.0
121,0.00125,7162.0,43925.5,0.0,0.0,2.0
122,0.186875,-5710.533444816057,43871.570234113715,1.0,0.0,299.0
123,1.2675,-3357.1198224852124,43674.994575936886,1.0,0.0,2028.0
124,0.000625,6899.5,43900.5,0.0,,1.0
125,0.00125,9824.5,43888.0,0.7,0.4243,2.0
126,0.00875,-10377.285714285717,43875.5,0.0,0.0,14.0
127,0.00125,-3138.0,43875.5,1.0,0.0,2.0
128,0.0075,5751.583333333336,43854.666666666664,0.0,0.0,12.0
