region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
10803,33238.61068281939,6418.313876651984,1.135,33.853,7.0063,3.0075,19.7093,5.9213,2.2938,-1752.7974,1.0,0.9992,0.0253,1.0,0.0,QUALIFIED
10806,-25301.01159618008,6690.745566166443,0.458125,26.1701,15.537,3.6352,25.4005,13.8518,2.7306,-192.821,1.0,0.9838,0.1149,0.0,0.963165,QUALIFIED
10854,36614.884615384624,6922.807692307695,0.08125,37.264,19.3886,3.166,26.0912,17.7068,1.4311,-1351.324,1.0,0.1868,0.2958,1.0,0.0,QUALIFIED
10934,32244.8213995118,6662.176159479255,0.768125,32.9263,6.8355,3.666,22.2944,5.9235,3.1116,-1725.9762,1.0,0.9978,0.0405,1.0,0.0,QUALIFIED
10986,26303.52298850575,6604.714559386972,0.163125,27.1204,3.4896,1.4157,7.7314,3.2192,0.967,-1921.021,1.0,0.0067,0.0534,1.0,0.0,QUALIFIED
10987,33684.57462686568,6379.604477611938,0.125625,34.2838,5.8636,2.4608,18.1396,4.6902,1.3026,-1771.1849,1.0,1.0,0.0,1.0,0.0,QUALIFIED
11002,-24040.59983361065,6500.832778702163,0.375625,24.9034,5.7827,3.4832,22.58,5.2891,2.597,-363.487,1.0,0.8918,0.2818,0.0,0.718802,QUALIFIED
11008,39604.75914634146,6295.850609756097,0.205,40.1025,4.4934,3.0297,19.4813,3.774,1.655,-1205.0802,1.0,0.2151,0.3247,1.0,0.0,QUALIFIED
11029,31091.330294530155,6217.154978962135,0.445625,31.7072,5.2064,2.1278,19.2421,4.3789,1.3067,-1748.7027,1.0,0.8455,0.3146,1.0,0.0,QUALIFIED
11054,37965.467741935485,6221.629032258061,0.096875,38.4723,4.4896,2.5268,11.8026,3.8707,2.096,-1185.4524,1.0,0.0108,0.0728,1.0,0.0,QUALIFIED
11060,33938.49613899614,6161.310810810814,0.32375,34.4936,6.942,4.6609,26.5196,5.5157,3.1352,-1761.7208,1.0,1.0,0.0,1.0,0.0,QUALIFIED
11074,28487.41913214989,6550.105522682447,0.63375,29.2311,8.0321,4.1977,21.7305,7.095,3.1834,-1825.0908,1.0,0.0462,0.1719,1.0,0.0,QUALIFIED
11084,40050.11728395062,6217.01234567901,0.10125,40.5302,3.899,2.0202,11.4205,3.8156,1.3653,-1194.4232,1.0,0.2654,0.3455,1.0,0.0,QUALIFIED
11101,31881.25,5940.0625,0.25,32.4303,5.5862,2.7614,15.566,4.7228,1.9338,-1754.7946,1.0,0.9645,0.1676,1.0,0.0,QUALIFIED
11110,26518.833816075305,5896.734612599568,0.863125,27.1669,5.5559,2.8697,24.5609,4.4709,1.8654,-1919.4093,1.0,0.1564,0.3262,0.233888,0.0,QUALIFIED
11112,41162.0,5896.956086286591,0.81125,41.5827,11.4595,3.4905,25.5563,9.9562,2.4365,-1082.4555,1.0,0.0642,0.226,1.0,0.0,QUALIFIED
11147,-30059.162790697672,6035.965116279069,0.26875,30.6586,12.8968,4.6273,28.2352,11.2514,3.3449,1608.0947,1.0,0.1371,0.2908,0.0,1.0,QUALIFIED
11159,39691.94186046512,6054.375968992244,0.080625,40.1515,6.343,1.8828,11.3385,4.7516,0.8514,-1191.7278,1.0,0.0772,0.2205,1.0,0.0,QUALIFIED
11257,30707.73970037453,5558.037453183526,0.33375,31.2071,5.7307,3.1658,15.2129,4.5441,2.0651,-1792.0422,1.0,0.8245,0.3467,1.0,0.0,QUALIFIED
11258,31365.28711985689,5869.730769230766,0.349375,31.9102,5.7146,2.6602,18.553,4.6367,1.7949,-1773.9498,1.0,0.9926,0.0721,1.0,0.0,QUALIFIED
11270,35671.5556745182,5899.108137044968,0.291875,36.1565,9.5961,4.9006,22.9437,8.193,3.9814,-1734.8774,1.0,1.0,0.0,1.0,0.0,QUALIFIED
